id;type_ID;name;code1;code2;property1;property2;manufacture;price;price_unitID;image_path;record_date
191;8;SWITCH;2 LÝ DIP ;;2 LÝ DIP ;;;0;Usd;;06.06.2020 08:33
192;8;KLEMENS;2 LÝ GEÇMELÝ ;;2 LÝ GEÇMELÝ ;;;0;Usd;;06.06.2020 08:33
193;8;KONEKTÖR ;2 LÝ MÝKÝ takým ;;2 LÝ MÝKÝ takým ;;;0;Usd;;06.06.2020 08:33
194;8;KLEMENS;2 LÝ YAYLI ;;2 LÝ YAYLI ;;;0;Usd;;06.06.2020 08:33
195;8;2PÝN;2 NUMARA;;2 NUMARA;;;0;Usd;;06.06.2020 08:33
196;8;KONEKTÖR;2 PÝN 3.96mm DÝÞÝ KÝLÝTLÝ;;2 PÝN 3.96mm DÝÞÝ KÝLÝTLÝ;;;0;Usd;;06.06.2020 08:33
197;8;KONNEKTÖR;2 PÝN TUNIK KONNEKTOR TAKIM 2.54mm;;2 PÝN TUNIK KONNEKTOR TAKIM 2.54mm;;;0;Usd;;06.06.2020 08:33
198;8;ROLE MODÜL;2 SOLÝD STATE ROLE;;2 SOLÝD STATE ROLE;;;0;Usd;;06.06.2020 08:33
199;8;DÝRENÇ;2,2k 1/4W ;;2,2k 1/4W ;;;0;Usd;;06.06.2020 08:33
200;8;DÝRENÇ;2,2M 1/4W ;;2,2M 1/4W ;;;0;Usd;;06.06.2020 08:33
201;8;DÝRENÇ;2,5M 1/4W ;;2,5M 1/4W ;;;0;Usd;;06.06.2020 08:33
202;8;DÝRENÇ;2,7k 1/4W ;;2,7k 1/4W ;;;0;Usd;;06.06.2020 08:33
203;8;ENTEGRE SOKETÝ;20 LÝ ;;20 LÝ ;;;0;Usd;;06.06.2020 08:33
204;8;KRÝSTAL OSÝLATÖR;20 MHZ KRÝSTAL OSÝLATÖR;;20 MHZ KRÝSTAL OSÝLATÖR;;;0;Usd;;06.06.2020 08:33
205;8;VARÝSTÖR;20 MM ;;20 MM ;;;0;Usd;;06.06.2020 08:33
